"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H","diameter","albedo"
"  1566 Icarus (1949 MA)",1.078,0.8269,22.80,87.96,31.44,0.187,1.97,1.12,26339,0,1078,10,13,16.35,1.0,0.51
"  1620 Geographos (1951 RA)",1.246,0.3354,13.34,337.18,276.95,0.828,1.66,1.39,25738,0,4789,3,4,15.30,2.56,0.290
"  1862 Apollo (1932 HA)",1.471,0.5600,6.35,35.57,286.04,0.647,2.29,1.78,33329,0,2282,8,9,16.12,1.5,0.25
"  1981 Midas (1973 EA)",1.776,0.6501,39.83,356.86,267.83,0.622,2.93,2.37,17760,0,1077,12,1,15.22,3.4,
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.49,43.60,0.442,3.31,2.57,30790,0,119,0,5,18.64,0.6,
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.36,61.53,0.904,1.68,1.47,16703,0,1387,1,0,16.00,1.649,0.245
"  2135 Aristaeus (1977 HA)",1.599,0.5032,23.07,191.13,290.99,0.795,2.40,2.02,15749,1,61,,,18.02,,
"  2201 Oljato (1947 XC)",2.175,0.7130,2.52,74.99,98.23,0.624,3.72,3.21,32795,0,1120,0,5,15.25,1.80,0.4328
"  2340 Hathor (1976 UA)",0.8437,0.4499,5.86,211.31,40.08,0.464,1.22,0.775,15431,0,454,4,3,20.33,0.3,
"  3122 Florence (1981 ET3)",1.769,0.4233,22.15,336.06,27.86,1.020,2.52,2.35,15455,0,5047,6,0,14.04,4.9,0.231
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.26,265.22,322.17,0.140,2.40,1.43,13875,0,5090,8,0,14.34,6.25,0.1066
"  3361 Orpheus (1982 HR)",1.211,0.3231,2.66,188.69,302.36,0.819,1.60,1.33,14537,0,1151,,,19.27,0.3,0.357
"  3362 Khufu (1984 QA)",0.9895,0.4685,9.92,152.43,55.05,0.526,1.45,0.984,7394,1,262,,,18.30,0.7,0.21
"  3671 Dionysus (1984 KD)",2.199,0.5413,13.53,82.08,204.29,1.009,3.39,3.26,13738,0,736,,,16.49,1.5,0.16
"  3757 Anagolay (1982 XB)",1.835,0.4458,3.87,74.95,17.21,1.017,2.65,2.49,13428,0,173,0,2,18.90,0.5,0.18
"  4015 Wilson-Harrington (1979 VA)",2.625,0.6317,2.80,266.78,95.44,0.967,4.28,4.25,26104,0,997,,,16.02,4,0.05
"  4034 Vishnu (1986 PA)",1.06,0.4440,11.17,157.91,296.72,0.589,1.53,1.09,12824,0,565,0,1,18.41,0.42,0.52
"  4179 Toutatis (1989 AC)",2.545,0.6243,0.45,125.22,277.97,0.956,4.13,4.06,32168,0,6592,35,28,15.24,5.4,0.405
"  4183 Cuno (1959 LM)",1.984,0.6352,6.68,294.67,236.61,0.724,3.24,2.79,22797,0,2659,1,0,14.13,3.651,0.097
"  4450 Pan (1987 SY)",1.442,0.5864,5.52,311.80,291.82,0.597,2.29,1.73,30991,0,1323,1,0,17.16,,
"  4486 Mithra (1987 SB)",2.2,0.6626,3.04,82.24,168.90,0.742,3.66,3.26,12761,0,930,8,9,15.53,1.849,0.297
"  4581 Asclepius (1989 FC)",1.023,0.3569,4.92,180.21,255.36,0.658,1.39,1.03,11706,0,423,2,2,20.79,,
"  4660 Nereus (1982 DB)",1.486,0.3589,1.45,313.15,159.54,0.952,2.02,1.81,14771,0,2599,20,17,18.62,0.33,0.55
"  4769 Castalia (1989 PB)",1.063,0.4831,8.89,325.54,121.41,0.550,1.58,1.1,11663,0,336,8,7,17.48,1.4,0.092
"  4953 (1990 MU)",1.622,0.6575,24.38,77.64,77.83,0.555,2.69,2.07,17205,0,1018,0,2,15.02,,
"  5011 Ptah (6743 P-L)",1.636,0.5002,7.41,10.64,105.97,0.818,2.45,2.09,22214,0,625,,,16.36,,
"  5189 (1990 UQ)",1.552,0.4782,3.58,135.07,159.95,0.810,2.29,1.93,11426,0,1510,4,1,17.91,,
"  5604 (1992 FE)",0.9286,0.4061,4.72,311.90,82.65,0.552,1.31,0.895,16041,0,940,6,0,17.27,0.55,0.48
"  5693 (1993 EA)",1.271,0.5852,5.05,97.02,258.90,0.527,2.01,1.43,13938,0,1962,,,16.69,,
"  6037 (1988 EG)",1.271,0.4996,3.50,182.36,242.19,0.636,1.91,1.43,12142,0,540,4,4,18.78,,
"  6239 Minos (1989 QF)",1.151,0.4126,3.94,344.57,239.70,0.676,1.63,1.24,13876,0,1193,3,0,18.49,,
"  6489 Golevka (1991 JX)",2.486,0.6125,2.27,209.49,68.66,0.963,4.01,3.92,8968,0,1017,20,20,19.20,0.53,0.151
"  6491 (1991 OA)",2.501,0.5905,5.95,301.90,323.65,1.024,3.98,3.96,10431,0,190,,,18.70,,
"  7335 (1989 JA)",1.771,0.4841,15.19,61.30,232.31,0.913,2.63,2.36,12029,0,442,0,5,17.53,1.8,0.448
"  7341 (1991 VK)",1.843,0.5062,5.41,294.77,173.51,0.910,2.78,2.5,11144,0,2178,10,3,16.91,0.982,0.235
